排名,英文,語料次數,頻率層,詞性,中文,學習優先度,類型,過去式,過去分詞,不規則,筆記
3627,sleeves,30,03｜常用,,,B 擴充,,,,,
3628,slipped,30,03｜常用,,,B 擴充,,,,,
3629,slough,30,03｜常用,,,B 擴充,,,,,
3630,status,30,03｜常用,,,B 擴充,,,,,
3631,steam,30,03｜常用,,,B 擴充,,,,,
3632,steel,30,03｜常用,,,B 擴充,,,,,
3633,stores,30,03｜常用,,,B 擴充,,,,,
3634,subjected,30,03｜常用,,,B 擴充,,,,,
3635,swift,30,03｜常用,,,B 擴充,,,,,
3636,tight,30,03｜常用,,,B 擴充,,,,,
3637,timokhin,30,03｜常用,,,B 擴充,,,,,
3638,uncertain,30,03｜常用,,,B 擴充,,,,,
3639,unnecessary,30,03｜常用,,,B 擴充,,,,,
3640,urine,30,03｜常用,,,B 擴充,,,,,
3641,vain,30,03｜常用,,,B 擴充,,,,,
3642,ventured,30,03｜常用,,,B 擴充,,,,,
3643,violent,30,03｜常用,,,B 擴充,,,,,
3644,volume,30,03｜常用,,,B 擴充,,,,,
3645,waters,30,03｜常用,,,B 擴充,,,,,
3646,wear,30,03｜常用,v.,穿；戴,A 基礎必會,動詞,wore,worn,是,
3647,westward,30,03｜常用,,,B 擴充,,,,,
3648,wonderful,30,03｜常用,,,B 擴充,,,,,
3649,accord,29,03｜常用,,,B 擴充,,,,,
3650,advocates,29,03｜常用,,,B 擴充,,,,,
3651,alarmed,29,03｜常用,,,B 擴充,,,,,
3652,arrangements,29,03｜常用,,,B 擴充,,,,,
3653,assurance,29,03｜常用,,,B 擴充,,,,,
3654,attempted,29,03｜常用,,,B 擴充,,,,,
3655,attend,29,03｜常用,,,B 擴充,,,,,
3656,author,29,03｜常用,n.,作者,A 基礎必會,名詞,—,—,—,
3657,awful,29,03｜常用,,,B 擴充,,,,,
3658,brightly,29,03｜常用,,,B 擴充,,,,,
3659,bushes,29,03｜常用,,,B 擴充,,,,,
3660,caleche,29,03｜常用,,,B 擴充,,,,,
3661,calls,29,03｜常用,,,B 擴充,,,,,
3662,cavities,29,03｜常用,,,B 擴充,,,,,
3663,chairs,29,03｜常用,,,B 擴充,,,,,
3664,clearing,29,03｜常用,,,B 擴充,,,,,
3665,compare,29,03｜常用,v.,比較,A 基礎必會,動詞,compared,compared,否,
3666,complicated,29,03｜常用,,,B 擴充,,,,,
3667,concealed,29,03｜常用,,,B 擴充,,,,,
3668,consequently,29,03｜常用,,,B 擴充,,,,,
3669,consist,29,03｜常用,,,B 擴充,,,,,
3670,content,29,03｜常用,n.,內容,A 基礎必會,名詞,—,—,—,
3671,conventions,29,03｜常用,,,B 擴充,,,,,
3672,coronet,29,03｜常用,,,B 擴充,,,,,
3673,corporal,29,03｜常用,,,B 擴充,,,,,
3674,crushed,29,03｜常用,,,B 擴充,,,,,
3675,curious,29,03｜常用,,,B 擴充,,,,,
3676,damages,29,03｜常用,,,B 擴充,,,,,
3677,damp,29,03｜常用,,,B 擴充,,,,,
3678,defend,29,03｜常用,,,B 擴充,,,,,
3679,degrees,29,03｜常用,,,B 擴充,,,,,
3680,destined,29,03｜常用,,,B 擴充,,,,,
3681,devotion,29,03｜常用,,,B 擴充,,,,,
3682,douglas,29,03｜常用,,,B 擴充,,,,,
3683,drainage,29,03｜常用,,,B 擴充,,,,,
3684,dutch,29,03｜常用,,,B 擴充,,,,,
3685,eldest,29,03｜常用,,,B 擴充,,,,,
3686,electors,29,03｜常用,,,B 擴充,,,,,
3687,employers,29,03｜常用,,,B 擴充,,,,,
3688,enforce,29,03｜常用,,,B 擴充,,,,,
3689,entrusted,29,03｜常用,,,B 擴充,,,,,
3690,est,29,03｜常用,,,B 擴充,,,,,
3691,exists,29,03｜常用,,,B 擴充,,,,,
3692,factories,29,03｜常用,,,B 擴充,,,,,
3693,failing,29,03｜常用,,,B 擴充,,,,,
3694,fee,29,03｜常用,,,B 擴充,,,,,
3695,fetch,29,03｜常用,,,B 擴充,,,,,
3696,fortnight,29,03｜常用,,,B 擴充,,,,,
3697,fourteen,29,03｜常用,,,B 擴充,,,,,
3698,furnish,29,03｜常用,,,B 擴充,,,,,
3699,ganglion,29,03｜常用,,,B 擴充,,,,,
3700,gloves,29,03｜常用,,,B 擴充,,,,,
3701,gracious,29,03｜常用,,,B 擴充,,,,,
3702,groom,29,03｜常用,,,B 擴充,,,,,
3703,hastened,29,03｜常用,,,B 擴充,,,,,
3704,heels,29,03｜常用,,,B 擴充,,,,,
3705,hidden,29,03｜常用,,,B 擴充,,,,,
3706,http,29,03｜常用,,,B 擴充,,,,,
3707,ice,29,03｜常用,,,B 擴充,,,,,
3708,icons,29,03｜常用,,,B 擴充,,,,,
3709,indicating,29,03｜常用,,,B 擴充,,,,,
3710,indurated,29,03｜常用,,,B 擴充,,,,,
3711,induration,29,03｜常用,,,B 擴充,,,,,
3712,judicial,29,03｜常用,,,B 擴充,,,,,
3713,kinds,29,03｜常用,,,B 擴充,,,,,
3714,kremlin,29,03｜常用,,,B 擴充,,,,,
3715,largely,29,03｜常用,,,B 擴充,,,,,
3716,lofty,29,03｜常用,,,B 擴充,,,,,
3717,manifest,29,03｜常用,,,B 擴充,,,,,
3718,marching,29,03｜常用,,,B 擴充,,,,,
3719,militiamen,29,03｜常用,,,B 擴充,,,,,
3720,milk,29,03｜常用,n.,牛奶,B 中高級核心,名詞,—,—,—,
3721,minor,29,03｜常用,,,B 擴充,,,,,
3722,motor,29,03｜常用,,,B 擴充,,,,,
3723,names,29,03｜常用,,,B 擴充,,,,,
3724,obey,29,03｜常用,,,B 擴充,,,,,
3725,offensive,29,03｜常用,,,B 擴充,,,,,
3726,outer,29,03｜常用,,,B 擴充,,,,,
3727,ownership,29,03｜常用,,,B 擴充,,,,,
3728,passions,29,03｜常用,,,B 擴充,,,,,
3729,perplexity,29,03｜常用,,,B 擴充,,,,,
3730,philippines,29,03｜常用,,,B 擴充,,,,,
3731,profits,29,03｜常用,,,B 擴充,,,,,
3732,pulling,29,03｜常用,,,B 擴充,,,,,
3733,purple,29,03｜常用,,,B 擴充,,,,,
3734,radical,29,03｜常用,,,B 擴充,,,,,
3735,radiogram,29,03｜常用,,,B 擴充,,,,,
3736,rang,29,03｜常用,,,B 擴充,,,,,
3737,reasonable,29,03｜常用,,,B 擴充,,,,,
3738,rebellion,29,03｜常用,,,B 擴充,,,,,
3739,require,29,03｜常用,v.,要求；需要,A 基礎必會,動詞,required,required,否,
3740,retire,29,03｜常用,,,B 擴充,,,,,
3741,rostova,29,03｜常用,,,B 擴充,,,,,
3742,rubber,29,03｜常用,,,B 擴充,,,,,
3743,severely,29,03｜常用,,,B 擴充,,,,,
3744,sheet,29,03｜常用,,,B 擴充,,,,,
3745,shevardino,29,03｜常用,,,B 擴充,,,,,
3746,shinshin,29,03｜常用,,,B 擴充,,,,,
3747,shop,29,03｜常用,,,B 擴充,,,,,
3748,simultaneously,29,03｜常用,,,B 擴充,,,,,
3749,stated,29,03｜常用,,,B 擴充,,,,,
3750,stepping,29,03｜常用,,,B 擴充,,,,,
3751,toll,29,03｜常用,,,B 擴充,,,,,
3752,transport,29,03｜常用,,,B 擴充,,,,,
3753,travel,29,03｜常用,v.,旅行,A 基礎必會,動詞,traveled,traveled,否,
3754,ultimately,29,03｜常用,,,B 擴充,,,,,
3755,uncommon,29,03｜常用,,,B 擴充,,,,,
3756,unconsciously,29,03｜常用,,,B 擴充,,,,,
3757,waved,29,03｜常用,,,B 擴充,,,,,
3758,webster,29,03｜常用,,,B 擴充,,,,,
3759,willarski,29,03｜常用,,,B 擴充,,,,,
3760,withdraw,29,03｜常用,,,B 擴充,,,,,
3761,abnormal,28,03｜常用,,,B 擴充,,,,,
3762,abundant,28,03｜常用,,,B 擴充,,,,,
3763,accident,28,03｜常用,n.,意外；事故,A 基礎必會,名詞,—,—,—,
3764,advised,28,03｜常用,,,B 擴充,,,,,
3765,agreeable,28,03｜常用,,,B 擴充,,,,,
3766,allied,28,03｜常用,,,B 擴充,,,,,
3767,aloud,28,03｜常用,,,B 擴充,,,,,
3768,anterior,28,03｜常用,,,B 擴充,,,,,
3769,antiseptic,28,03｜常用,,,B 擴充,,,,,
3770,arise,28,03｜常用,,,B 擴充,,,,,
3771,arrive,28,03｜常用,v.,到達,A 基礎必會,動詞,arrived,arrived,否,
3772,astonishment,28,03｜常用,,,B 擴充,,,,,
3773,birth,28,03｜常用,n.,出生,A 基礎必會,名詞,—,—,—,
3774,bowing,28,03｜常用,,,B 擴充,,,,,
3775,brave,28,03｜常用,,,B 擴充,,,,,
3776,calmly,28,03｜常用,,,B 擴充,,,,,
3777,canada,28,03｜常用,,,B 擴充,,,,,
3778,candidates,28,03｜常用,,,B 擴充,,,,,
3779,candles,28,03｜常用,,,B 擴充,,,,,
3780,charged,28,03｜常用,,,B 擴充,,,,,
3781,chicago,28,03｜常用,,,B 擴充,,,,,
3782,citizen,28,03｜常用,n.,公民,A 基礎必會,名詞,—,—,—,
3783,coarse,28,03｜常用,,,B 擴充,,,,,
3784,collective,28,03｜常用,,,B 擴充,,,,,
3785,conquest,28,03｜常用,,,B 擴充,,,,,
3786,consequence,28,03｜常用,n.,後果,A 基礎必會,名詞,—,—,—,
3787,constitutes,28,03｜常用,,,B 擴充,,,,,
3788,contracture,28,03｜常用,,,B 擴充,,,,,
3789,creature,28,03｜常用,,,B 擴充,,,,,
3790,destructive,28,03｜常用,,,B 擴充,,,,,
3791,discover,28,03｜常用,v.,發現,A 基礎必會,動詞,discovered,discovered,否,
3792,distal,28,03｜常用,,,B 擴充,,,,,
3793,doses,28,03｜常用,,,B 擴充,,,,,
3794,drops,28,03｜常用,,,B 擴充,,,,,
3795,exaggerated,28,03｜常用,,,B 擴充,,,,,
3796,exchanged,28,03｜常用,,,B 擴充,,,,,
3797,extends,28,03｜常用,,,B 擴充,,,,,
3798,favourable,28,03｜常用,,,B 擴充,,,,,
3799,furnished,28,03｜常用,,,B 擴充,,,,,
3800,gaze,28,03｜常用,,,B 擴充,,,,,
3801,giant,28,03｜常用,,,B 擴充,,,,,
3802,goal,28,03｜常用,n.,目標,B 中高級核心,名詞,—,—,—,
3803,gross,28,03｜常用,,,B 擴充,,,,,
3804,halted,28,03｜常用,,,B 擴充,,,,,
3805,hid,28,03｜常用,,,B 擴充,,,,,
3806,infinite,28,03｜常用,,,B 擴充,,,,,
3807,ix,28,03｜常用,,,B 擴充,,,,,
3808,kansas,28,03｜常用,,,B 擴充,,,,,
3809,killing,28,03｜常用,,,B 擴充,,,,,
3810,loaded,28,03｜常用,,,B 擴充,,,,,
3811,luck,28,03｜常用,,,B 擴充,,,,,
3812,margin,28,03｜常用,,,B 擴充,,,,,
3813,mason,28,03｜常用,,,B 擴充,,,,,
3814,massage,28,03｜常用,,,B 擴充,,,,,
3815,medullary,28,03｜常用,,,B 擴充,,,,,
3816,meetings,28,03｜常用,,,B 擴充,,,,,
3817,midnight,28,03｜常用,,,B 擴充,,,,,
3818,missed,28,03｜常用,,,B 擴充,,,,,
3819,missing,28,03｜常用,,,B 擴充,,,,,
3820,myeloma,28,03｜常用,,,B 擴充,,,,,
3821,neighbor,28,03｜常用,n.,鄰居,B 中高級核心,名詞,—,—,—,
3822,neighbors,28,03｜常用,,,B 擴充,,,,,
3823,net,28,03｜常用,,,B 擴充,,,,,
3824,picture,28,03｜常用,n.,圖片,B 中高級核心,名詞,—,—,—,
3825,pieces,28,03｜常用,,,B 擴充,,,,,
3826,pillow,28,03｜常用,,,B 擴充,,,,,
3827,placing,28,03｜常用,,,B 擴充,,,,,
3828,products,28,03｜常用,,,B 擴充,,,,,
3829,professional,28,03｜常用,adj.,專業的,B 中高級核心,形容詞,—,—,—,
3830,purse,28,03｜常用,,,B 擴充,,,,,
3831,release,28,03｜常用,v.,釋放；發布,B 中高級核心,動詞,released,released,否,
3832,render,28,03｜常用,,,B 擴充,,,,,
3833,replying,28,03｜常用,,,B 擴充,,,,,
3834,representation,28,03｜常用,,,B 擴充,,,,,
3835,reputation,28,03｜常用,,,B 擴充,,,,,
3836,rested,28,03｜常用,,,B 擴充,,,,,
3837,restore,28,03｜常用,,,B 擴充,,,,,
3838,restricted,28,03｜常用,,,B 擴充,,,,,
3839,rows,28,03｜常用,,,B 擴充,,,,,
3840,schools,28,03｜常用,,,B 擴充,,,,,
3841,sebaceous,28,03｜常用,,,B 擴充,,,,,
3842,seconds,28,03｜常用,,,B 擴充,,,,,
3843,servitude,28,03｜常用,,,B 擴充,,,,,
3844,softened,28,03｜常用,,,B 擴充,,,,,
3845,sovereignty,28,03｜常用,,,B 擴充,,,,,
3846,stirred,28,03｜常用,,,B 擴充,,,,,
3847,subsequent,28,03｜常用,,,B 擴充,,,,,
3848,supremacy,28,03｜常用,,,B 擴充,,,,,
3849,sustained,28,03｜常用,,,B 擴充,,,,,
3850,sutures,28,03｜常用,,,B 擴充,,,,,
3851,swayed,28,03｜常用,,,B 擴充,,,,,
3852,theodore,28,03｜常用,,,B 擴充,,,,,
3853,uhlans,28,03｜常用,,,B 擴充,,,,,
3854,visited,28,03｜常用,,,B 擴充,,,,,
3855,whistle,28,03｜常用,,,B 擴充,,,,,
3856,wouldn,28,03｜常用,,,B 擴充,,,,,
3857,xi,28,03｜常用,,,B 擴充,,,,,
3858,xii,28,03｜常用,,,B 擴充,,,,,
3859,xiv,28,03｜常用,,,B 擴充,,,,,
3860,abandoning,27,03｜常用,,,B 擴充,,,,,
3861,activities,27,03｜常用,,,B 擴充,,,,,
3862,add,27,03｜常用,v.,增加；加上,A 基礎必會,動詞,added,added,否,
3863,amused,27,03｜常用,,,B 擴充,,,,,
3864,aorta,27,03｜常用,,,B 擴充,,,,,
3865,arbitration,27,03｜常用,,,B 擴充,,,,,
3866,bands,27,03｜常用,,,B 擴充,,,,,
3867,boundary,27,03｜常用,,,B 擴充,,,,,
3868,chondroma,27,03｜常用,,,B 擴充,,,,,
3869,clair,27,03｜常用,,,B 擴充,,,,,
3870,clinically,27,03｜常用,,,B 擴充,,,,,
3871,coldly,27,03｜常用,,,B 擴充,,,,,
3872,collection,27,03｜常用,n.,收藏；集合,A 基礎必會,名詞,—,—,—,
3873,commonest,27,03｜常用,,,B 擴充,,,,,
3874,contemporaries,27,03｜常用,,,B 擴充,,,,,
3875,convoy,27,03｜常用,,,B 擴充,,,,,
3876,cook,27,03｜常用,,,B 擴充,,,,,
3877,crying,27,03｜常用,,,B 擴充,,,,,
3878,deformities,27,03｜常用,,,B 擴充,,,,,
3879,delayed,27,03｜常用,,,B 擴充,,,,,
3880,description,27,03｜常用,n.,描述,A 基礎必會,名詞,—,—,—,
3881,disputes,27,03｜常用,,,B 擴充,,,,,
3882,dokhturov,27,03｜常用,,,B 擴充,,,,,
3883,dragoons,27,03｜常用,,,B 擴充,,,,,
3884,dresses,27,03｜常用,,,B 擴充,,,,,
3885,effective,27,03｜常用,adj.,有效的,A 基礎必會,形容詞,—,—,—,
3886,element,27,03｜常用,n.,元素；要素,A 基礎必會,名詞,—,—,—,
3887,embedded,27,03｜常用,,,B 擴充,,,,,
3888,empress,27,03｜常用,,,B 擴充,,,,,
3889,encounter,27,03｜常用,,,B 擴充,,,,,
3890,endure,27,03｜常用,,,B 擴充,,,,,
3891,experiment,27,03｜常用,n.,實驗,A 基礎必會,名詞,—,—,—,
3892,extremities,27,03｜常用,,,B 擴充,,,,,
3893,farmer,27,03｜常用,n.,農夫,A 基礎必會,名詞,—,—,—,
3894,faster,27,03｜常用,,,B 擴充,,,,,
3895,fix,27,03｜常用,,,B 擴充,,,,,
3896,flap,27,03｜常用,,,B 擴充,,,,,
3897,flowed,27,03｜常用,,,B 擴充,,,,,
3898,forgot,27,03｜常用,,,B 擴充,,,,,
3899,fourteenth,27,03｜常用,,,B 擴充,,,,,
3900,funds,27,03｜常用,,,B 擴充,,,,,
3901,gravity,27,03｜常用,,,B 擴充,,,,,
3902,greeted,27,03｜常用,,,B 擴充,,,,,
3903,hampshire,27,03｜常用,,,B 擴充,,,,,
3904,harness,27,03｜常用,,,B 擴充,,,,,
3905,highroad,27,03｜常用,,,B 擴充,,,,,
3906,horrible,27,03｜常用,,,B 擴充,,,,,
3907,hunger,27,03｜常用,,,B 擴充,,,,,
3908,improvements,27,03｜常用,,,B 擴充,,,,,
3909,incident,27,03｜常用,,,B 擴充,,,,,
3910,indefinite,27,03｜常用,,,B 擴充,,,,,
3911,indiana,27,03｜常用,,,B 擴充,,,,,
3912,involuntary,27,03｜常用,,,B 擴充,,,,,
3913,kaluga,27,03｜常用,,,B 擴充,,,,,
3914,kings,27,03｜常用,,,B 擴充,,,,,
3915,lake,27,03｜常用,,,B 擴充,,,,,
3916,lane,27,03｜常用,,,B 擴充,,,,,
3917,laying,27,03｜常用,,,B 擴充,,,,,
3918,lee,27,03｜常用,,,B 擴充,,,,,
3919,liability,27,03｜常用,,,B 擴充,,,,,
3920,lieutenant,27,03｜常用,,,B 擴充,,,,,
3921,locked,27,03｜常用,,,B 擴充,,,,,
3922,lumen,27,03｜常用,,,B 擴充,,,,,
3923,machinery,27,03｜常用,,,B 擴充,,,,,
3924,manage,27,03｜常用,v.,管理；設法做到,A 基礎必會,動詞,managed,managed,否,
3925,medicine,27,03｜常用,n.,藥；醫學,B 中高級核心,名詞,—,—,—,
3926,minds,27,03｜常用,,,B 擴充,,,,,
3927,mountains,27,03｜常用,,,B 擴充,,,,,
3928,naevus,27,03｜常用,,,B 擴充,,,,,
3929,negative,27,03｜常用,adj.,負面的,B 中高級核心,形容詞,—,—,—,
3930,negroes,27,03｜常用,,,B 擴充,,,,,
3931,perform,27,03｜常用,v.,執行；表演,A 基礎必會,動詞,performed,performed,否,
3932,pink,27,03｜常用,,,B 擴充,,,,,
3933,plantations,27,03｜常用,,,B 擴充,,,,,
3934,poisoning,27,03｜常用,,,B 擴充,,,,,
3935,pretext,27,03｜常用,,,B 擴充,,,,,
3936,printed,27,03｜常用,,,B 擴充,,,,,
3937,probable,27,03｜常用,,,B 擴充,,,,,
3938,pyaemia,27,03｜常用,,,B 擴充,,,,,
3939,questioning,27,03｜常用,,,B 擴充,,,,,
3940,resulted,27,03｜常用,,,B 擴充,,,,,
3941,runs,27,03｜常用,,,B 擴充,,,,,
3942,shortly,27,03｜常用,,,B 擴充,,,,,
3943,sleeve,27,03｜常用,,,B 擴充,,,,,
3944,spare,27,03｜常用,,,B 擴充,,,,,
3945,stable,27,03｜常用,,,B 擴充,,,,,
3946,studies,27,03｜常用,,,B 擴充,,,,,
3947,submitted,27,03｜常用,,,B 擴充,,,,,
3948,sunk,27,03｜常用,,,B 擴充,,,,,
3949,teach,27,03｜常用,v.,教,A 基礎必會,動詞,taught,taught,是,
3950,thickening,27,03｜常用,,,B 擴充,,,,,
3951,tooth,27,03｜常用,,,B 擴充,,,,,
3952,trembled,27,03｜常用,,,B 擴充,,,,,
3953,upstairs,27,03｜常用,,,B 擴充,,,,,
3954,vols,27,03｜常用,,,B 擴充,,,,,
3955,wagon,27,03｜常用,,,B 擴充,,,,,
3956,wake,27,03｜常用,v.,醒來,A 基礎必會,動詞,woke,woken,是,
3957,wept,27,03｜常用,,,B 擴充,,,,,
3958,whistling,27,03｜常用,,,B 擴充,,,,,
3959,writers,27,03｜常用,,,B 擴充,,,,,
3960,adherent,26,03｜常用,,,B 擴充,,,,,
3961,adults,26,03｜常用,,,B 擴充,,,,,
3962,anaesthetic,26,03｜常用,,,B 擴充,,,,,
3963,avenue,26,03｜常用,,,B 擴充,,,,,
3964,battalions,26,03｜常用,,,B 擴充,,,,,
3965,beast,26,03｜常用,,,B 擴充,,,,,
3966,bench,26,03｜常用,,,B 擴充,,,,,
3967,bond,26,03｜常用,,,B 擴充,,,,,
3968,carotid,26,03｜常用,,,B 擴充,,,,,
3969,cartilaginous,26,03｜常用,,,B 擴充,,,,,
3970,catherine,26,03｜常用,,,B 擴充,,,,,
3971,clothing,26,03｜常用,,,B 擴充,,,,,
3972,coach,26,03｜常用,n.,教練,A 基礎必會,名詞,—,—,—,
3973,comparison,26,03｜常用,n.,比較,A 基礎必會,名詞,—,—,—,
3974,contain,26,03｜常用,v.,包含；容納,B 中高級核心,動詞,contained,contained,否,
3975,conveyed,26,03｜常用,,,B 擴充,,,,,
3976,copies,26,03｜常用,,,B 擴充,,,,,
3977,copper,26,03｜常用,,,B 擴充,,,,,
3978,corporations,26,03｜常用,,,B 擴充,,,,,
3979,corresponding,26,03｜常用,,,B 擴充,,,,,
3980,cunning,26,03｜常用,,,B 擴充,,,,,
3981,cup,26,03｜常用,n.,杯子,A 基礎必會,名詞,—,—,—,
3982,danced,26,03｜常用,,,B 擴充,,,,,
3983,dealt,26,03｜常用,,,B 擴充,,,,,
3984,decline,26,03｜常用,v.,下降；拒絕,B 中高級核心,動詞,declined,declined,否,
3985,depression,26,03｜常用,,,B 擴充,,,,,
3986,dismounted,26,03｜常用,,,B 擴充,,,,,
3987,displacement,26,03｜常用,,,B 擴充,,,,,
3988,distribute,26,03｜常用,,,B 擴充,,,,,
3989,downstairs,26,03｜常用,,,B 擴充,,,,,
3990,dried,26,03｜常用,,,B 擴充,,,,,
3991,easier,26,03｜常用,,,B 擴充,,,,,
3992,energetic,26,03｜常用,,,B 擴充,,,,,
3993,envelope,26,03｜常用,,,B 擴充,,,,,
3994,eternal,26,03｜常用,,,B 擴充,,,,,
3995,exact,26,03｜常用,,,B 擴充,,,,,
3996,favour,26,03｜常用,,,B 擴充,,,,,
3997,flesh,26,03｜常用,,,B 擴充,,,,,
3998,furniture,26,03｜常用,,,B 擴充,,,,,
3999,gerasim,26,03｜常用,,,B 擴充,,,,,
4000,glances,26,03｜常用,,,B 擴充,,,,,
4001,heroic,26,03｜常用,,,B 擴充,,,,,
4002,homestead,26,03｜常用,,,B 擴充,,,,,
4003,impaired,26,03｜常用,,,B 擴充,,,,,
4004,india,26,03｜常用,,,B 擴充,,,,,
4005,indifference,26,03｜常用,,,B 擴充,,,,,
4006,inn,26,03｜常用,,,B 擴充,,,,,
4007,irony,26,03｜常用,,,B 擴充,,,,,
4008,italy,26,03｜常用,,,B 擴充,,,,,
4009,key,26,03｜常用,n.,鑰匙；關鍵,B 中高級核心,名詞,—,—,—,
4010,kingdom,26,03｜常用,,,B 擴充,,,,,
4011,knocked,26,03｜常用,,,B 擴充,,,,,
4012,losses,26,03｜常用,,,B 擴充,,,,,
4013,lover,26,03｜常用,,,B 擴充,,,,,
4014,marshals,26,03｜常用,,,B 擴充,,,,,
4015,mavra,26,03｜常用,,,B 擴充,,,,,
4016,mob,26,03｜常用,,,B 擴充,,,,,
4017,nephew,26,03｜常用,,,B 擴充,,,,,
4018,oath,26,03｜常用,,,B 擴充,,,,,
4019,occupations,26,03｜常用,,,B 擴充,,,,,
4020,oedematous,26,03｜常用,,,B 擴充,,,,,
4021,org,26,03｜常用,,,B 擴充,,,,,
4022,outline,26,03｜常用,,,B 擴充,,,,,
4023,overcoat,26,03｜常用,,,B 擴充,,,,,
4024,pacing,26,03｜常用,,,B 擴充,,,,,
4025,painfully,26,03｜常用,,,B 擴充,,,,,
4026,patience,26,03｜常用,,,B 擴充,,,,,
4027,platon,26,03｜常用,,,B 擴充,,,,,
4028,poland,26,03｜常用,,,B 擴充,,,,,
4029,pool,26,03｜常用,,,B 擴充,,,,,
4030,pounds,26,03｜常用,,,B 擴充,,,,,
4031,poverty,26,03｜常用,,,B 擴充,,,,,
4032,prayed,26,03｜常用,,,B 擴充,,,,,
4033,projects,26,03｜常用,,,B 擴充,,,,,
4034,punish,26,03｜常用,,,B 擴充,,,,,
4035,ratified,26,03｜常用,,,B 擴充,,,,,
4036,reckoned,26,03｜常用,,,B 擴充,,,,,
4037,recorded,26,03｜常用,,,B 擴充,,,,,
4038,resembles,26,03｜常用,,,B 擴充,,,,,
4039,resolutions,26,03｜常用,,,B 擴充,,,,,
4040,resting,26,03｜常用,,,B 擴充,,,,,
4041,revolt,26,03｜常用,,,B 擴充,,,,,
4042,robert,26,03｜常用,,,B 擴充,,,,,
4043,roll,26,03｜常用,,,B 擴充,,,,,
4044,route,26,03｜常用,,,B 擴充,,,,,
4045,row,26,03｜常用,,,B 擴充,,,,,
4046,samuel,26,03｜常用,,,B 擴充,,,,,
4047,secession,26,03｜常用,,,B 擴充,,,,,
4048,sees,26,03｜常用,,,B 擴充,,,,,
4049,sentence,26,03｜常用,n.,句子,B 中高級核心,名詞,—,—,—,
4050,shots,26,03｜常用,,,B 擴充,,,,,
4051,slender,26,03｜常用,,,B 擴充,,,,,
4052,snuffbox,26,03｜常用,,,B 擴充,,,,,
4053,solitary,26,03｜常用,,,B 擴充,,,,,
4054,subsequently,26,03｜常用,,,B 擴充,,,,,
4055,substances,26,03｜常用,,,B 擴充,,,,,
4056,suspected,26,03｜常用,,,B 擴充,,,,,
4057,text,26,03｜常用,,,B 擴充,,,,,
4058,thee,26,03｜常用,,,B 擴充,,,,,
4059,thereof,26,03｜常用,,,B 擴充,,,,,
4060,threatening,26,03｜常用,,,B 擴充,,,,,
4061,throne,26,03｜常用,,,B 擴充,,,,,
4062,tourniquet,26,03｜常用,,,B 擴充,,,,,
4063,turns,26,03｜常用,,,B 擴充,,,,,
4064,upset,26,03｜常用,,,B 擴充,,,,,
4065,vexation,26,03｜常用,,,B 擴充,,,,,
4066,wave,26,03｜常用,,,B 擴充,,,,,
4067,whitlow,26,03｜常用,,,B 擴充,,,,,
4068,zone,26,03｜常用,,,B 擴充,,,,,
4069,abolished,25,03｜常用,,,B 擴充,,,,,
4070,accumulation,25,03｜常用,,,B 擴充,,,,,
4071,advertisement,25,03｜常用,n.,廣告,A 基礎必會,名詞,—,—,—,
4072,agent,25,03｜常用,n.,代理人；經紀人,A 基礎必會,名詞,—,—,—,
4073,annexation,25,03｜常用,,,B 擴充,,,,,
4074,answers,25,03｜常用,,,B 擴充,,,,,
4075,aseptic,25,03｜常用,,,B 擴充,,,,,
4076,attacking,25,03｜常用,,,B 擴充,,,,,
4077,backward,25,03｜常用,,,B 擴充,,,,,
4078,bar,25,03｜常用,n.,酒吧；條；障礙,A 基礎必會,名詞,—,—,—,
4079,beausset,25,03｜常用,,,B 擴充,,,,,
4080,belonging,25,03｜常用,,,B 擴充,,,,,
4081,bezukhova,25,03｜常用,,,B 擴充,,,,,
4082,brief,25,03｜常用,adj.,簡短的,A 基礎必會,形容詞,—,—,—,
4083,bryan,25,03｜常用,,,B 擴充,,,,,
4084,cadet,25,03｜常用,,,B 擴充,,,,,
4085,characterised,25,03｜常用,,,B 擴充,,,,,
4086,cher,25,03｜常用,,,B 擴充,,,,,
4087,childish,25,03｜常用,,,B 擴充,,,,,
4088,clerk,25,03｜常用,,,B 擴充,,,,,
4089,commanded,25,03｜常用,,,B 擴充,,,,,
4090,completed,25,03｜常用,,,B 擴充,,,,,
4091,complex,25,03｜常用,adj.,複雜的,A 基礎必會,形容詞,—,—,—,
4092,conducted,25,03｜常用,,,B 擴充,,,,,
4093,conferred,25,03｜常用,,,B 擴充,,,,,
4094,conscience,25,03｜常用,,,B 擴充,,,,,
4095,consisting,25,03｜常用,,,B 擴充,,,,,
4096,constitute,25,03｜常用,,,B 擴充,,,,,
4097,construction,25,03｜常用,n.,建設；構造,A 基礎必會,名詞,—,—,—,
4098,convenient,25,03｜常用,adj.,方便的,A 基礎必會,形容詞,—,—,—,
4099,cruelty,25,03｜常用,,,B 擴充,,,,,
4100,custom,25,03｜常用,,,B 擴充,,,,,
4101,damage,25,03｜常用,n.,損害,A 基礎必會,名詞,—,—,—,
4102,declare,25,03｜常用,,,B 擴充,,,,,
4103,depended,25,03｜常用,,,B 擴充,,,,,
4104,deposit,25,03｜常用,,,B 擴充,,,,,
4105,desert,25,03｜常用,,,B 擴充,,,,,
