單字,詞性,中文意思,優先度,類型,過去式,過去分詞 p.p.,不規則,筆記
paper,n.,紙；論文,B 中高級核心,名詞,—,—,—,
parent,n.,父母之一,B 中高級核心,名詞,—,—,—,
park,n.,公園,B 中高級核心,名詞,—,—,—,
part,n.,部分；角色,B 中高級核心,名詞,—,—,—,
particularly,adv.,尤其；特別,B 中高級核心,副詞,—,—,—,
partner,n.,夥伴；伴侶,B 中高級核心,名詞,—,—,—,
party,n.,派對；政黨,B 中高級核心,名詞,—,—,—,
passenger,n.,乘客,B 中高級核心,名詞,—,—,—,
path,n.,小路；途徑,B 中高級核心,名詞,—,—,—,
patient,n.,病人,B 中高級核心,名詞,—,—,—,
pattern,n.,模式；圖案,B 中高級核心,名詞,—,—,—,
pay,v.,支付,A 基礎必會,動詞,paid,paid,是,
peace,n.,和平,B 中高級核心,名詞,—,—,—,
people,n.,人們,B 中高級核心,名詞,—,—,—,
percent,n.,百分比,B 中高級核心,名詞,—,—,—,
perform,v.,執行；表演,A 基礎必會,動詞,performed,performed,否,
perhaps,adv.,也許,B 中高級核心,副詞,—,—,—,
period,n.,期間；句點,B 中高級核心,名詞,—,—,—,
person,n.,人,B 中高級核心,名詞,—,—,—,
personal,adj.,個人的,B 中高級核心,形容詞,—,—,—,
phone,n.,電話,B 中高級核心,名詞,—,—,—,
photo,n.,照片,B 中高級核心,名詞,—,—,—,
physical,adj.,身體的；物理的,B 中高級核心,形容詞,—,—,—,
physics,n.,物理學,B 中高級核心,名詞,—,—,—,
picture,n.,圖片,B 中高級核心,名詞,—,—,—,
piece,n.,一片；一件,B 中高級核心,名詞,—,—,—,
place,n.,地方,B 中高級核心,名詞,—,—,—,
plan,v./n.,計畫,A 基礎必會,動詞；名詞,planned,planned,否,
plane,n.,飛機；平面,B 中高級核心,名詞,—,—,—,
plant,n.,植物；工廠,B 中高級核心,名詞,—,—,—,
play,v.,玩；演奏,A 基礎必會,動詞,played,played,否,
player,n.,玩家；選手,B 中高級核心,名詞,—,—,—,
pleasure,n.,愉快；榮幸,B 中高級核心,名詞,—,—,—,
point,n.,點；觀點,B 中高級核心,名詞,—,—,—,
police,n.,警察,B 中高級核心,名詞,—,—,—,
policy,n.,政策,B 中高級核心,名詞,—,—,—,
political,adj.,政治的,B 中高級核心,形容詞,—,—,—,
poor,adj.,貧窮的；差的,B 中高級核心,形容詞,—,—,—,
popular,adj.,受歡迎的,B 中高級核心,形容詞,—,—,—,
population,n.,人口,B 中高級核心,名詞,—,—,—,
position,n.,位置；職位；立場,B 中高級核心,名詞,—,—,—,
positive,adj.,正面的,B 中高級核心,形容詞,—,—,—,
possible,adj.,可能的,B 中高級核心,形容詞,—,—,—,
post,v./n.,張貼；發布,B 中高級核心,動詞；名詞,posted,posted,否,
potential,n./adj.,潛在的,B 中高級核心,名詞；形容詞,—,—,—,
power,n.,力量；權力；電力,B 中高級核心,名詞,—,—,—,
practice,v./n.,練習；慣例,B 中高級核心,動詞；名詞,practiced,practiced,否,
prefer,v.,較喜歡,A 基礎必會,動詞,preferred,preferred,否,
prepare,v.,準備,A 基礎必會,動詞,prepared,prepared,否,
president,n.,總統；總裁,B 中高級核心,名詞,—,—,—,
pressure,n.,壓力,B 中高級核心,名詞,—,—,—,
prevent,v.,防止,A 基礎必會,動詞,prevented,prevented,否,
price,n.,價格,B 中高級核心,名詞,—,—,—,
primary,adj.,主要的；初級的,B 中高級核心,形容詞,—,—,—,
private,adj.,私人的,B 中高級核心,形容詞,—,—,—,
probably,adv.,大概；可能,B 中高級核心,副詞,—,—,—,
problem,n.,問題,B 中高級核心,名詞,—,—,—,
process,n.,過程,B 中高級核心,名詞,—,—,—,
produce,v.,生產；產生,A 基礎必會,動詞,produced,produced,否,
product,n.,產品,B 中高級核心,名詞,—,—,—,
production,n.,生產,B 中高級核心,名詞,—,—,—,
professional,adj.,專業的,B 中高級核心,形容詞,—,—,—,
program,n.,程式；節目,B 中高級核心,名詞,—,—,—,
progress,n.,進步；進展,B 中高級核心,名詞,—,—,—,
project,n.,專案,B 中高級核心,名詞,—,—,—,
promise,v./n.,承諾,B 中高級核心,動詞；名詞,promised,promised,否,
proper,adj.,適當的,B 中高級核心,形容詞,—,—,—,
property,n.,財產；特性,B 中高級核心,名詞,—,—,—,
protect,v.,保護,A 基礎必會,動詞,protected,protected,否,
provide,v.,提供,A 基礎必會,動詞,provided,provided,否,
public,adj.,公共的,B 中高級核心,形容詞,—,—,—,
publish,v.,出版；發布,B 中高級核心,動詞,published,published,否,
purpose,n.,目的,B 中高級核心,名詞,—,—,—,
put,v.,放置,A 基礎必會,動詞,put,put,是,
quality,n.,品質；特質,B 中高級核心,名詞,—,—,—,
question,n.,問題,B 中高級核心,名詞,—,—,—,
quick,adj.,快的,B 中高級核心,形容詞,—,—,—,
quickly,adv.,快速地,B 中高級核心,副詞,—,—,—,
quite,adv.,相當,B 中高級核心,副詞,—,—,—,
radio,n.,收音機,B 中高級核心,名詞,—,—,—,
raise,v.,提高；養育,B 中高級核心,動詞,raised,raised,否,
range,n.,範圍,B 中高級核心,名詞,—,—,—,
rate,n.,比率；評價,B 中高級核心,名詞,—,—,—,
reach,v.,到達；達成,A 基礎必會,動詞,reached,reached,否,
read,v.,閱讀,A 基礎必會,動詞,read,read,是,
ready,adj.,準備好的,B 中高級核心,形容詞,—,—,—,
real,adj.,真的,B 中高級核心,形容詞,—,—,—,
realize,v.,了解；實現,A 基礎必會,動詞,realized,realized,否,
really,adv.,真的；非常,B 中高級核心,副詞,—,—,—,
reason,n.,原因；理由,B 中高級核心,名詞,—,—,—,
receive,v.,收到,A 基礎必會,動詞,received,received,否,
recent,adj.,最近的,B 中高級核心,形容詞,—,—,—,
recently,adv.,最近,B 中高級核心,副詞,—,—,—,
recognize,v.,認出；承認,A 基礎必會,動詞,recognized,recognized,否,
recommend,v.,推薦；建議,B 中高級核心,動詞,recommended,recommended,否,
record,v.,記錄,B 中高級核心,動詞,recorded,recorded,否,
reduce,v.,減少,A 基礎必會,動詞,reduced,reduced,否,
refer,v.,提到；參考,B 中高級核心,動詞,refered,refered,否,
reflect,v.,反映；反思,B 中高級核心,動詞,reflected,reflected,否,
refuse,v.,拒絕,B 中高級核心,動詞,refused,refused,否,
region,n.,地區,B 中高級核心,名詞,—,—,—,
regular,adj.,規律的；一般的,B 中高級核心,形容詞,—,—,—,
relationship,n.,關係,B 中高級核心,名詞,—,—,—,
relax,v.,放鬆,B 中高級核心,動詞,relaxed,relaxed,否,
release,v.,釋放；發布,B 中高級核心,動詞,released,released,否,
rely,v.,依賴,B 中高級核心,動詞,relied,relied,否,
remain,v.,仍然是；留下,B 中高級核心,動詞,remained,remained,否,
remember,v.,記得,A 基礎必會,動詞,remembered,remembered,否,
remove,v.,移除,B 中高級核心,動詞,removed,removed,否,
repair,v.,修理,B 中高級核心,動詞,repaired,repaired,否,
repeat,v.,重複,B 中高級核心,動詞,repeated,repeated,否,
replace,v.,取代；更換,B 中高級核心,動詞,replaced,replaced,否,
reply,v./n.,回覆,B 中高級核心,動詞；名詞,replied,replied,否,
report,v./n.,報告；報導,B 中高級核心,動詞；名詞,reported,reported,否,
represent,v.,代表,B 中高級核心,動詞,represented,represented,否,
require,v.,要求；需要,A 基礎必會,動詞,required,required,否,
research,n.,研究,B 中高級核心,名詞,—,—,—,
resource,n.,資源,B 中高級核心,名詞,—,—,—,
respect,n.,尊重,B 中高級核心,名詞,—,—,—,
respond,v.,回應,B 中高級核心,動詞,responded,responded,否,
response,n.,回應,B 中高級核心,名詞,—,—,—,
responsible,adj.,負責的,B 中高級核心,形容詞,—,—,—,
rest,n.,休息；其餘,B 中高級核心,名詞,—,—,—,
restaurant,n.,餐廳,B 中高級核心,名詞,—,—,—,
result,n.,結果,B 中高級核心,名詞,—,—,—,
return,v.,返回；歸還,A 基礎必會,動詞,returned,returned,否,
review,v./n.,複習；評論,B 中高級核心,動詞；名詞,reviewed,reviewed,否,
rich,adj.,富有的；豐富的,B 中高級核心,形容詞,—,—,—,
ride,v.,騎；搭乘,A 基礎必會,動詞,rode,ridden,是,
right,adj.,正確的,B 中高級核心,形容詞,—,—,—,
rise,v.,上升,A 基礎必會,動詞,rose,risen,是,
risk,n.,風險,B 中高級核心,名詞,—,—,—,
river,n.,河流,B 中高級核心,名詞,—,—,—,
road,n.,道路,B 中高級核心,名詞,—,—,—,
role,n.,角色；作用,B 中高級核心,名詞,—,—,—,
room,n.,房間；空間,B 中高級核心,名詞,—,—,—,
rule,n.,規則,B 中高級核心,名詞,—,—,—,
run,v.,跑；運作,A 基礎必會,動詞,ran,run,是,
safe,adj.,安全的,B 中高級核心,形容詞,—,—,—,
safety,n.,安全,B 中高級核心,名詞,—,—,—,
same,adj.,相同的,B 中高級核心,形容詞,—,—,—,
say,v.,說,A 基礎必會,動詞,said,said,是,
school,n.,學校,B 中高級核心,名詞,—,—,—,
science,n.,科學,B 中高級核心,名詞,—,—,—,
scientific,adj.,科學的,B 中高級核心,形容詞,—,—,—,
scientist,n.,科學家,B 中高級核心,名詞,—,—,—,
score,n.,分數,B 中高級核心,名詞,—,—,—,
sea,n.,海,B 中高級核心,名詞,—,—,—,
search,v./n.,搜尋,B 中高級核心,動詞；名詞,searched,searched,否,
season,n.,季節,B 中高級核心,名詞,—,—,—,
seat,n.,座位,B 中高級核心,名詞,—,—,—,
section,n.,部分；章節,B 中高級核心,名詞,—,—,—,
see,v.,看見,A 基礎必會,動詞,saw,seen,是,
seem,v.,似乎,A 基礎必會,動詞,seemed,seemed,否,
select,v.,選擇,B 中高級核心,動詞,selected,selected,否,
sell,v.,販售,A 基礎必會,動詞,sold,sold,是,
send,v.,寄送,A 基礎必會,動詞,sent,sent,是,
sense,n.,感覺；意義,B 中高級核心,名詞,—,—,—,
sentence,n.,句子,B 中高級核心,名詞,—,—,—,
separate,adj.,分開的,B 中高級核心,形容詞,—,—,—,
serious,adj.,嚴重的；認真的,B 中高級核心,形容詞,—,—,—,
serve,v.,服務；供應,A 基礎必會,動詞,served,served,否,
service,n.,服務,B 中高級核心,名詞,—,—,—,
set,v.,設置,A 基礎必會,動詞,set,set,是,
several,功能字,幾個,A 基礎必會,文法／連接／介系詞,—,—,—,
share,v.,分享,A 基礎必會,動詞,shared,shared,否,
she,功能字,她,A 基礎必會,文法／連接／介系詞,—,—,—,
short,adj.,短的,B 中高級核心,形容詞,—,—,—,
should,功能字,應該,A 基礎必會,文法／連接／介系詞,—,—,—,
show,v.,展示,A 基礎必會,動詞,showed,shown/showed,是,
shut,v.,關閉,A 基礎必會,動詞,shut,shut,是,
side,n.,側面,B 中高級核心,名詞,—,—,—,
sign,n.,標誌；簽名,B 中高級核心,名詞,—,—,—,
signal,n.,訊號,B 中高級核心,名詞,—,—,—,
similar,adj.,相似的,B 中高級核心,形容詞,—,—,—,
similarly,adv.,相似地,B 中高級核心,副詞,—,—,—,
simple,adj.,簡單的,B 中高級核心,形容詞,—,—,—,
simply,adv.,簡單地；只不過,B 中高級核心,副詞,—,—,—,
since,功能字,自從；因為,A 基礎必會,文法／連接／介系詞,—,—,—,
sing,v.,唱歌,A 基礎必會,動詞,sang,sung,是,
single,adj.,單一的；單身的,B 中高級核心,形容詞,—,—,—,
sit,v.,坐,A 基礎必會,動詞,sat,sat,是,
situation,n.,情況,B 中高級核心,名詞,—,—,—,
skill,n.,技能,B 中高級核心,名詞,—,—,—,
sleep,v.,睡覺,A 基礎必會,動詞,slept,slept,是,
slowly,adv.,慢慢地,B 中高級核心,副詞,—,—,—,
small,adj.,小的,B 中高級核心,形容詞,—,—,—,
smart,adj.,聰明的；智慧型的,B 中高級核心,形容詞,—,—,—,
so,功能字,所以；如此,A 基礎必會,文法／連接／介系詞,—,—,—,
social,adj.,社會的；社交的,B 中高級核心,形容詞,—,—,—,
society,n.,社會,B 中高級核心,名詞,—,—,—,
software,n.,軟體,B 中高級核心,名詞,—,—,—,
solution,n.,解決方法,B 中高級核心,名詞,—,—,—,
solve,v.,解決,B 中高級核心,動詞,solved,solved,否,
some,功能字,一些,A 基礎必會,文法／連接／介系詞,—,—,—,
sometimes,adv.,有時候,B 中高級核心,副詞,—,—,—,
soon,adv.,很快；不久,B 中高級核心,副詞,—,—,—,
sound,n.,聲音,B 中高級核心,名詞,—,—,—,
source,n.,來源,B 中高級核心,名詞,—,—,—,
space,n.,空間；太空,B 中高級核心,名詞,—,—,—,
speak,v.,說話,A 基礎必會,動詞,spoke,spoken,是,
special,adj.,特別的,B 中高級核心,形容詞,—,—,—,
specific,adj.,特定的,B 中高級核心,形容詞,—,—,—,
speech,n.,演講；語言,B 中高級核心,名詞,—,—,—,
spend,v.,花費,A 基礎必會,動詞,spent,spent,是,
sport,n.,運動,B 中高級核心,名詞,—,—,—,
spread,v.,傳播,B 中高級核心,動詞,spread,spread,是,
stage,n.,舞台；階段,B 中高級核心,名詞,—,—,—,
stand,v.,站立；忍受,A 基礎必會,動詞,stood,stood,是,
standard,n./adj.,標準的,B 中高級核心,名詞；形容詞,—,—,—,
start,v.,開始,A 基礎必會,動詞,started,started,否,
state,n.,狀態；州,B 中高級核心,名詞,—,—,—,
station,n.,車站,B 中高級核心,名詞,—,—,—,
stay,v.,停留,A 基礎必會,動詞,stayed,stayed,否,
steal,v.,偷,A 基礎必會,動詞,stole,stolen,是,
step,n.,步驟,B 中高級核心,名詞,—,—,—,
still,adv.,仍然,B 中高級核心,副詞,—,—,—,
stop,v.,停止,A 基礎必會,動詞,stopped,stopped,否,
store,v./n.,儲存；存放,B 中高級核心,動詞；名詞,stored,stored,否,
story,n.,故事,B 中高級核心,名詞,—,—,—,
strategy,n.,策略,B 中高級核心,名詞,—,—,—,
street,n.,街道,B 中高級核心,名詞,—,—,—,
stress,n.,壓力,B 中高級核心,名詞,—,—,—,
strong,adj.,強壯的；強烈的,B 中高級核心,形容詞,—,—,—,
student,n.,學生,B 中高級核心,名詞,—,—,—,
study,v.,學習,A 基礎必會,動詞,studied,studied,否,
subject,n.,科目；主題,B 中高級核心,名詞,—,—,—,
success,n.,成功,B 中高級核心,名詞,—,—,—,
successful,adj.,成功的,B 中高級核心,形容詞,—,—,—,
sudden,adj.,突然的,B 中高級核心,形容詞,—,—,—,
suggest,v.,建議,A 基礎必會,動詞,suggested,suggested,否,
suggestion,n.,建議,B 中高級核心,名詞,—,—,—,
summer,n.,夏天,B 中高級核心,名詞,—,—,—,
support,v.,支持,A 基礎必會,動詞,supported,supported,否,
sure,adj.,確定的,B 中高級核心,形容詞,—,—,—,
surface,n.,表面,B 中高級核心,名詞,—,—,—,
system,n.,系統,B 中高級核心,名詞,—,—,—,
table,n.,桌子；表格,B 中高級核心,名詞,—,—,—,
take,v.,拿；帶；花費,A 基礎必會,動詞,took,taken,是,
talk,v.,談話,A 基礎必會,動詞,talked,talked,否,
task,n.,任務,B 中高級核心,名詞,—,—,—,
tax,n.,稅,B 中高級核心,名詞,—,—,—,
teach,v.,教,A 基礎必會,動詞,taught,taught,是,
teacher,n.,老師,B 中高級核心,名詞,—,—,—,
team,n.,團隊,B 中高級核心,名詞,—,—,—,
technology,n.,科技,B 中高級核心,名詞,—,—,—,
telephone,n.,電話,B 中高級核心,名詞,—,—,—,
television,n.,電視,B 中高級核心,名詞,—,—,—,
tell,v.,告訴,A 基礎必會,動詞,told,told,是,
temperature,n.,溫度,B 中高級核心,名詞,—,—,—,
term,n.,術語；學期,B 中高級核心,名詞,—,—,—,
test,v./n.,測試,B 中高級核心,動詞；名詞,tested,tested,否,
than,功能字,比,A 基礎必會,文法／連接／介系詞,—,—,—,
that,功能字,那個；那；以致,A 基礎必會,文法／連接／介系詞,—,—,—,
the,功能字,這個；那個；該,A 基礎必會,文法／連接／介系詞,—,—,—,
their,功能字,他們的,A 基礎必會,文法／連接／介系詞,—,—,—,
them,功能字,他們,A 基礎必會,文法／連接／介系詞,—,—,—,
theory,n.,理論,B 中高級核心,名詞,—,—,—,
there,功能字,那裡；有,A 基礎必會,文法／連接／介系詞,—,—,—,
these,功能字,這些,A 基礎必會,文法／連接／介系詞,—,—,—,
they,功能字,他們,A 基礎必會,文法／連接／介系詞,—,—,—,
thing,n.,事情；物品,B 中高級核心,名詞,—,—,—,
think,v.,思考；認為,A 基礎必會,動詞,thought,thought,是,
this,功能字,這個,A 基礎必會,文法／連接／介系詞,—,—,—,
those,功能字,那些,A 基礎必會,文法／連接／介系詞,—,—,—,
though,功能字,雖然；不過,A 基礎必會,文法／連接／介系詞,—,—,—,
thought,n.,想法,B 中高級核心,名詞,—,—,—,
through,功能字,穿過；透過,A 基礎必會,文法／連接／介系詞,—,—,—,
throughout,功能字,遍及；自始至終,A 基礎必會,文法／連接／介系詞,—,—,—,
throw,v.,丟；投擲,A 基礎必會,動詞,threw,thrown,是,
time,n.,時間；次數,B 中高級核心,名詞,—,—,—,
tiny,adj.,極小的,B 中高級核心,形容詞,—,—,—,
to,功能字,到；向；不定詞符號,A 基礎必會,文法／連接／介系詞,—,—,—,
today,adv.,今天,B 中高級核心,副詞,—,—,—,
together,adv.,一起,B 中高級核心,副詞,—,—,—,
tomorrow,adv.,明天,B 中高級核心,副詞,—,—,—,
tonight,adv.,今晚,B 中高級核心,副詞,—,—,—,
too,adv.,也；太,B 中高級核心,副詞,—,—,—,
tool,n.,工具,B 中高級核心,名詞,—,—,—,
topic,n.,主題,B 中高級核心,名詞,—,—,—,
total,n./adj.,總計的,B 中高級核心,名詞；形容詞,—,—,—,
totally,adv.,完全地,B 中高級核心,副詞,—,—,—,
touch,v.,觸碰,B 中高級核心,動詞,touched,touched,否,
tour,n.,旅行；參觀,B 中高級核心,名詞,—,—,—,
tourist,n.,觀光客,B 中高級核心,名詞,—,—,—,
toward,功能字,朝向,A 基礎必會,文法／連接／介系詞,—,—,—,
town,n.,城鎮,B 中高級核心,名詞,—,—,—,
trade,n.,貿易；交易,B 中高級核心,名詞,—,—,—,
traditional,adj.,傳統的,B 中高級核心,形容詞,—,—,—,
traffic,n.,交通；流量,B 中高級核心,名詞,—,—,—,
train,v./n.,訓練,B 中高級核心,動詞；名詞,trained,trained,否,
training,n.,訓練,B 中高級核心,名詞,—,—,—,
travel,v.,旅行,A 基礎必會,動詞,traveled,traveled,否,
treat,v.,對待；治療,B 中高級核心,動詞,treated,treated,否,
treatment,n.,治療；待遇,B 中高級核心,名詞,—,—,—,
tree,n.,樹,B 中高級核心,名詞,—,—,—,
trend,n.,趨勢,B 中高級核心,名詞,—,—,—,
trial,n.,試驗；審判,B 中高級核心,名詞,—,—,—,
trip,n.,旅行,B 中高級核心,名詞,—,—,—,
trouble,n.,麻煩,B 中高級核心,名詞,—,—,—,
true,adj.,真的,B 中高級核心,形容詞,—,—,—,
trust,v./n.,信任,B 中高級核心,動詞；名詞,trusted,trusted,否,
try,v.,嘗試,A 基礎必會,動詞,tried,tried,否,
type,n.,種類,B 中高級核心,名詞,—,—,—,
under,功能字,在…下面,A 基礎必會,文法／連接／介系詞,—,—,—,
understand,v.,了解,A 基礎必會,動詞,understood,understood,是,
unit,n.,單位；單元,B 中高級核心,名詞,—,—,—,
university,n.,大學,B 中高級核心,名詞,—,—,—,
unless,功能字,除非,A 基礎必會,文法／連接／介系詞,—,—,—,
until,功能字,直到,A 基礎必會,文法／連接／介系詞,—,—,—,
update,v.,更新,B 中高級核心,動詞,updated,updated,否,
upon,功能字,在…之上；一…就,A 基礎必會,文法／連接／介系詞,—,—,—,
us,功能字,我們,A 基礎必會,文法／連接／介系詞,—,—,—,
use,v.,使用,A 基礎必會,動詞,used,used,否,
user,n.,使用者,B 中高級核心,名詞,—,—,—,
usual,adj.,平常的,B 中高級核心,形容詞,—,—,—,
usually,adv.,通常,B 中高級核心,副詞,—,—,—,
value,v./n.,重視,B 中高級核心,動詞；名詞,valued,valued,否,
variety,n.,多樣性,B 中高級核心,名詞,—,—,—,
various,adj.,各種的,B 中高級核心,形容詞,—,—,—,
vehicle,n.,車輛,B 中高級核心,名詞,—,—,—,
version,n.,版本,B 中高級核心,名詞,—,—,—,
very,adv.,非常,B 中高級核心,副詞,—,—,—,
video,n.,影片,B 中高級核心,名詞,—,—,—,
view,n.,觀點；景色,B 中高級核心,名詞,—,—,—,
village,n.,村莊,B 中高級核心,名詞,—,—,—,
visit,v.,拜訪,A 基礎必會,動詞,visited,visited,否,
voice,n.,聲音；發言權,B 中高級核心,名詞,—,—,—,
volunteer,v.,志願服務,B 中高級核心,動詞,volunteered,volunteered,否,
wait,v.,等待,A 基礎必會,動詞,waited,waited,否,
wake,v.,醒來,A 基礎必會,動詞,woke,woken,是,
walk,v.,走路,A 基礎必會,動詞,walked,walked,否,
wall,n.,牆,B 中高級核心,名詞,—,—,—,
want,v.,想要,A 基礎必會,動詞,wanted,wanted,否,
war,n.,戰爭,B 中高級核心,名詞,—,—,—,
warm,adj.,溫暖的,B 中高級核心,形容詞,—,—,—,
warn,v.,警告,A 基礎必會,動詞,warned,warned,否,
warning,n.,警告,B 中高級核心,名詞,—,—,—,
wash,v.,洗,A 基礎必會,動詞,washed,washed,否,
watch,v.,觀看,A 基礎必會,動詞,watched,watched,否,
water,n.,水,B 中高級核心,名詞,—,—,—,
way,n.,方法；道路,B 中高級核心,名詞,—,—,—,
we,功能字,我們,A 基礎必會,文法／連接／介系詞,—,—,—,
weak,adj.,虛弱的；弱的,B 中高級核心,形容詞,—,—,—,
wear,v.,穿；戴,A 基礎必會,動詞,wore,worn,是,
weather,n.,天氣,B 中高級核心,名詞,—,—,—,
website,n.,網站,B 中高級核心,名詞,—,—,—,
week,n.,星期,B 中高級核心,名詞,—,—,—,
weekend,n.,週末,B 中高級核心,名詞,—,—,—,
weight,n.,重量；體重,B 中高級核心,名詞,—,—,—,
well,adv.,好地,B 中高級核心,副詞,—,—,—,
what,功能字,什麼,A 基礎必會,文法／連接／介系詞,—,—,—,
when,功能字,何時；當…時,A 基礎必會,文法／連接／介系詞,—,—,—,
where,功能字,哪裡；在…的地方,A 基礎必會,文法／連接／介系詞,—,—,—,
whereas,功能字,然而；反之,A 基礎必會,文法／連接／介系詞,—,—,—,
whether,功能字,是否,A 基礎必會,文法／連接／介系詞,—,—,—,
which,功能字,哪一個,A 基礎必會,文法／連接／介系詞,—,—,—,
while,功能字,當…時；然而,A 基礎必會,文法／連接／介系詞,—,—,—,
white,adj.,白色的,B 中高級核心,形容詞,—,—,—,
who,功能字,誰；…的人,A 基礎必會,文法／連接／介系詞,—,—,—,
whole,adj.,整個的,B 中高級核心,形容詞,—,—,—,
whose,功能字,誰的,A 基礎必會,文法／連接／介系詞,—,—,—,
why,功能字,為什麼,A 基礎必會,文法／連接／介系詞,—,—,—,
wide,adj.,寬的,B 中高級核心,形容詞,—,—,—,
wife,n.,妻子,B 中高級核心,名詞,—,—,—,
will,功能字,將會,A 基礎必會,文法／連接／介系詞,—,—,—,
win,v.,贏,A 基礎必會,動詞,won,won,是,
wind,n.,風,B 中高級核心,名詞,—,—,—,
window,n.,窗戶,B 中高級核心,名詞,—,—,—,
winter,n.,冬天,B 中高級核心,名詞,—,—,—,
wish,n.,願望,B 中高級核心,名詞,—,—,—,
with,功能字,和；用；帶有,A 基礎必會,文法／連接／介系詞,—,—,—,
within,功能字,在…之內,A 基礎必會,文法／連接／介系詞,—,—,—,
without,功能字,沒有；不帶,A 基礎必會,文法／連接／介系詞,—,—,—,
woman,n.,女人,B 中高級核心,名詞,—,—,—,
word,n.,單字,B 中高級核心,名詞,—,—,—,
work,v.,工作；運作,A 基礎必會,動詞,worked,worked,否,
worker,n.,工作者,B 中高級核心,名詞,—,—,—,
world,n.,世界,B 中高級核心,名詞,—,—,—,
worry,n.,擔心,B 中高級核心,名詞,—,—,—,
would,功能字,會；將會；願意,A 基礎必會,文法／連接／介系詞,—,—,—,
write,v.,寫,A 基礎必會,動詞,wrote,written,是,
writer,n.,作家,B 中高級核心,名詞,—,—,—,
wrong,adj.,錯的,B 中高級核心,形容詞,—,—,—,
year,n.,年,B 中高級核心,名詞,—,—,—,
yesterday,adv.,昨天,B 中高級核心,副詞,—,—,—,
yet,adv.,尚未；然而,B 中高級核心,副詞,—,—,—,
you,功能字,你；你們,A 基礎必會,文法／連接／介系詞,—,—,—,
young,adj.,年輕的,B 中高級核心,形容詞,—,—,—,
your,功能字,你的,A 基礎必會,文法／連接／介系詞,—,—,—,
